TCode,Name,PnRNum,ox,oy,dx,dy,arriveTime,tripDate,destCity
T010,Como & Eustis,10,44.9877,-93.2028,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T028,Normandale Village,28,44.8249,-93.3484,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T032,St. Edward's Catholic Church,32,44.8329,-93.3565,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T040,Co Rd 73 & I-394 South,40,44.97,-93.4214,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T042,Minnetonka Blvd & Baker Rd,42,44.9399,-93.4476,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T043,Minnetonka Blvd & Steele St,43,44.9405,-93.4832,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T057,Excelsior City Hall,57,44.9032,-93.5677,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T081,Westwood Lutheran Church,81,44.955,-93.3939,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T082,Little Canada Municipal Lot,82,45.0208,-93.0837,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T098,Salem Covenant Church,98,45.0567,-93.2189,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T110,Faith-Lilac Way Lutheran Church,110,45.0322,-93.3509,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T114,Navarre Center,114,44.9354,-93.61,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T130,Wayzata Blvd & Barry Ave,130,44.973,-93.5158,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T140,Mermaid Supper Club,140,45.0945,-93.1934,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T142,West River Rd & 117th Ave,142,45.1667,-93.3573,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T143,Zachary Square,143,45.1296,-93.4248,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T145,Christ Episcopal Church,145,44.923,-92.9591,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T152,Blackhawk,152,44.7913,-93.1984,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T155,Church of Nazarene,155,45.0864,-93.2889,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T158,Hwy 7 & Texas Ave,158,44.9367,-93.3803,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T161,I-35W & Co Rd H,161,45.095,-93.1901,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T173,Hwy 61 & Lower Afton Rd,173,44.9281,-93.0211,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T177,Shepherd of the Grove Church,177,45.078,-93.4297,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T180,General Mills Blvd & I-394,180,44.9724,-93.3899,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T187,St. Joseph's Church,187,45.1678,-93.1352,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T191,Shoreview Community Center,191,45.0803,-93.1333,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T195,Park Place & I-394,195,44.9697,-93.3499,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T198,Palomino Hills,198,44.7645,-93.2191,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T199,St. Luke's Lutheran Church,199,44.823,-93.3019,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T201,Richardson Park,201,45.19,-93.3993,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T204,Foley Blvd,204,45.1417,-93.286,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T205,Hwy 61 & Co Rd C,205,45.0199,-93.0525,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T209,Hwy 7 & Vinehill Rd,209,44.9097,-93.5261,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T210,65th Ave & Brooklyn Blvd,210,45.0731,-93.3311,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T215,Crosswinds Methodist Church,215,45.1021,-93.4707,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T217,I-35W & 95th Ave,217,45.1452,-93.185,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T219,West St Paul Sports Complex,219,44.8972,-93.0704,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T222,Woodbury Lutheran Church,222,44.924,-92.9582,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T223,St Croix Valley Recreation Center,223,45.0409,-92.8375,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T228,Hwy 610 & Noble,228,45.126,-93.3396,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T229,Woodbury Theatre,229,44.9283,-92.9582,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T230,Preserve Village Mall,230,44.8353,-93.3994,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T231,Coon Rapids/Riverdale Station,231,45.1914,-93.351,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T232,Co Rd 42 & Huntington,232,44.7478,-93.3292,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T242,St. Philip's Park & Ride,242,44.9949,-93.4975,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T244,Elk River Station,244,45.2836,-93.5422,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T245,Cottage Grove,245,44.8255,-92.9552,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T247,Maple Grove Transit Station,247,45.0916,-93.4377,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T248,Walton Park,248,44.9739,-92.964,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T251,28th Ave Station,251,44.8557,-93.2311,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T252,Ft Snelling Station North,252,44.8966,-93.1984,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T253,Ft Snelling Station South,253,44.8912,-93.1966,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T256,Hwy 100 & Duluth,256,45.0001,-93.3511,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T258,Heart of the City,258,44.7728,-93.2794,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T261,Knox Avenue at Best Buy,261,44.8624,-93.3039,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T262,Guardian Angels Catholic Church,262,44.951,-92.9384,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T266,Church of St. William,266,45.0792,-93.262,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T268,63rd Ave & Bottineau Blvd,268,45.0704,-93.3701,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T269,Hwy 252 & 66th Ave,269,45.0733,-93.2879,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T271,Grace Church,271,45.0125,-93.1562,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T272,Skating Center,272,45.0211,-93.1498,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T278,Southbridge Crossing,278,44.7797,-93.4083,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T284,Ramsey Station,284,45.2325,-93.4612,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T285,St Andrew Lutheran Church,285,44.8585,-93.45,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T287,I-35 & Kenrick Ave,287,44.7065,-93.2842,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T290,I-35W & Co Rd C,290,45.0239,-93.1856,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T291,Nathan Lane,291,45.0364,-93.4094,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T292,SouthWest Village,292,44.8422,-93.5375,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T293,Running Aces,293,45.2466,-93.0329,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T294,Forest Lake Transit Center,294,45.2395,-92.9856,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T297,East Creek Station,297,44.8139,-93.6041,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T298,Anoka Station,298,45.2072,-93.3845,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T299,Fridley Station,299,45.0788,-93.271,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T300,Big Lake Station,300,45.3296,-93.731,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T301,Parkway Station,301,45.1323,-93.4758,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T302,Hwy 36 & Rice St,302,45.0069,-93.1049,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T303,Maple Plain,303,45.0047,-93.6466,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T304,I-35E & County Road 14,304,45.1667,-93.0349,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T305,I-35E & County Road E,305,45.0484,-93.061,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T306,Chanhassen Transit Station,306,44.8609,-93.5338,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T309,Hopkins Park-and-Ride,309,44.921,-93.4095,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T312,Carver Station,312,44.7688,-93.6438,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T313,Newport Transit Station,313,44.8819,-93.0059,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T315,Paul Parkway,315,45.1899,-93.2378,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T316,Marschall Road Transit Station,316,44.7765,-93.5066,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T317,Dunkirk Park & Ride,317,45.0244,-93.4904,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T318,Carmike Cinema,318,44.7231,-93.2167,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T534,Becker Municipal Lot,534,45.3926,-93.8761,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T564,Northstar Link Lot,564,45.5541,-94.1254,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T701,Maplewood Mall Transit Center,701,45.029,-93.0247,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T703,Northtown Transit Center,703,45.1269,-93.2649,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T704,Louisiana Ave Transit Center,704,44.9706,-93.3713,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T705,Plymouth Road Park & Ride,705,44.9717,-93.4467,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T706,Southdale Transit Center,706,44.8818,-93.3223,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T707,South Bloomington Transit Center,707,44.8254,-93.2904,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T710,Burnsville Transit Station,710,44.7788,-93.2772,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T711,Eagan Transit Station,711,44.8326,-93.1662,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T712,Apple Valley Transit Station,712,44.7253,-93.2166,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T713,SouthWest Station,713,44.8597,-93.4426,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T714,Station 73,714,44.9871,-93.4188,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T715,Mound Transit Center,715,44.9375,-93.6648,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T716,157th St Station,716,44.72,-93.178,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T718,Cedar Grove Transit Station,718,44.8118,-93.2184,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T719,Lakeville Cedar,719,44.6881,-93.2161,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T721,Rosemount Transit Station,721,44.7389,-93.1237,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T722,Eagle Creek Transit Station,722,44.7669,-93.438,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T010,Como & Eustis,10,44.9877,-93.2028,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T028,Normandale Village,28,44.8249,-93.3484,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T032,St. Edward's Catholic Church,32,44.8329,-93.3565,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T040,Co Rd 73 & I-394 South,40,44.97,-93.4214,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T042,Minnetonka Blvd & Baker Rd,42,44.9399,-93.4476,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T043,Minnetonka Blvd & Steele St,43,44.9405,-93.4832,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T057,Excelsior City Hall,57,44.9032,-93.5677,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T081,Westwood Lutheran Church,81,44.955,-93.3939,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T082,Little Canada Municipal Lot,82,45.0208,-93.0837,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T098,Salem Covenant Church,98,45.0567,-93.2189,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T110,Faith-Lilac Way Lutheran Church,110,45.0322,-93.3509,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T114,Navarre Center,114,44.9354,-93.61,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T130,Wayzata Blvd & Barry Ave,130,44.973,-93.5158,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T140,Mermaid Supper Club,140,45.0945,-93.1934,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T142,West River Rd & 117th Ave,142,45.1667,-93.3573,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T143,Zachary Square,143,45.1296,-93.4248,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T145,Christ Episcopal Church,145,44.923,-92.9591,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T152,Blackhawk,152,44.7913,-93.1984,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T155,Church of Nazarene,155,45.0864,-93.2889,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T158,Hwy 7 & Texas Ave,158,44.9367,-93.3803,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T161,I-35W & Co Rd H,161,45.095,-93.1901,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T173,Hwy 61 & Lower Afton Rd,173,44.9281,-93.0211,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T177,Shepherd of the Grove Church,177,45.078,-93.4297,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T180,General Mills Blvd & I-394,180,44.9724,-93.3899,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T187,St. Joseph's Church,187,45.1678,-93.1352,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T191,Shoreview Community Center,191,45.0803,-93.1333,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T195,Park Place & I-394,195,44.9697,-93.3499,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T198,Palomino Hills,198,44.7645,-93.2191,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T199,St. Luke's Lutheran Church,199,44.823,-93.3019,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T201,Richardson Park,201,45.19,-93.3993,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T204,Foley Blvd,204,45.1417,-93.286,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T205,Hwy 61 & Co Rd C,205,45.0199,-93.0525,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T209,Hwy 7 & Vinehill Rd,209,44.9097,-93.5261,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T210,65th Ave & Brooklyn Blvd,210,45.0731,-93.3311,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T215,Crosswinds Methodist Church,215,45.1021,-93.4707,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T217,I-35W & 95th Ave,217,45.1452,-93.185,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T219,West St Paul Sports Complex,219,44.8972,-93.0704,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T222,Woodbury Lutheran Church,222,44.924,-92.9582,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T223,St Croix Valley Recreation Center,223,45.0409,-92.8375,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T228,Hwy 610 & Noble,228,45.126,-93.3396,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T229,Woodbury Theatre,229,44.9283,-92.9582,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T230,Preserve Village Mall,230,44.8353,-93.3994,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T231,Coon Rapids/Riverdale Station,231,45.1914,-93.351,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T232,Co Rd 42 & Huntington,232,44.7478,-93.3292,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T242,St. Philip's Park & Ride,242,44.9949,-93.4975,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T244,Elk River Station,244,45.2836,-93.5422,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T245,Cottage Grove,245,44.8255,-92.9552,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T247,Maple Grove Transit Station,247,45.0916,-93.4377,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T248,Walton Park,248,44.9739,-92.964,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T251,28th Ave Station,251,44.8557,-93.2311,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T252,Ft Snelling Station North,252,44.8966,-93.1984,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T253,Ft Snelling Station South,253,44.8912,-93.1966,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T256,Hwy 100 & Duluth,256,45.0001,-93.3511,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T258,Heart of the City,258,44.7728,-93.2794,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T261,Knox Avenue at Best Buy,261,44.8624,-93.3039,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T262,Guardian Angels Catholic Church,262,44.951,-92.9384,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T266,Church of St. William,266,45.0792,-93.262,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T268,63rd Ave & Bottineau Blvd,268,45.0704,-93.3701,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T269,Hwy 252 & 66th Ave,269,45.0733,-93.2879,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T271,Grace Church,271,45.0125,-93.1562,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T272,Skating Center,272,45.0211,-93.1498,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T278,Southbridge Crossing,278,44.7797,-93.4083,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T284,Ramsey Station,284,45.2325,-93.4612,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T285,St Andrew Lutheran Church,285,44.8585,-93.45,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T287,I-35 & Kenrick Ave,287,44.7065,-93.2842,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T290,I-35W & Co Rd C,290,45.0239,-93.1856,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T291,Nathan Lane,291,45.0364,-93.4094,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T292,SouthWest Village,292,44.8422,-93.5375,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T293,Running Aces,293,45.2466,-93.0329,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T294,Forest Lake Transit Center,294,45.2395,-92.9856,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T297,East Creek Station,297,44.8139,-93.6041,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T298,Anoka Station,298,45.2072,-93.3845,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T299,Fridley Station,299,45.0788,-93.271,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T300,Big Lake Station,300,45.3296,-93.731,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T301,Parkway Station,301,45.1323,-93.4758,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T302,Hwy 36 & Rice St,302,45.0069,-93.1049,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T303,Maple Plain,303,45.0047,-93.6466,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T304,I-35E & County Road 14,304,45.1667,-93.0349,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T305,I-35E & County Road E,305,45.0484,-93.061,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T306,Chanhassen Transit Station,306,44.8609,-93.5338,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T309,Hopkins Park-and-Ride,309,44.921,-93.4095,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T312,Carver Station,312,44.7688,-93.6438,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T313,Newport Transit Station,313,44.8819,-93.0059,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T315,Paul Parkway,315,45.1899,-93.2378,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T316,Marschall Road Transit Station,316,44.7765,-93.5066,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T317,Dunkirk Park & Ride,317,45.0244,-93.4904,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T318,Carmike Cinema,318,44.7231,-93.2167,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T534,Becker Municipal Lot,534,45.3926,-93.8761,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T564,Northstar Link Lot,564,45.5541,-94.1254,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T701,Maplewood Mall Transit Center,701,45.029,-93.0247,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T703,Northtown Transit Center,703,45.1269,-93.2649,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T704,Louisiana Ave Transit Center,704,44.9706,-93.3713,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T705,Plymouth Road Park & Ride,705,44.9717,-93.4467,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T706,Southdale Transit Center,706,44.8818,-93.3223,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T707,South Bloomington Transit Center,707,44.8254,-93.2904,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T710,Burnsville Transit Station,710,44.7788,-93.2772,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T711,Eagan Transit Station,711,44.8326,-93.1662,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T712,Apple Valley Transit Station,712,44.7253,-93.2166,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T713,SouthWest Station,713,44.8597,-93.4426,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T714,Station 73,714,44.9871,-93.4188,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T715,Mound Transit Center,715,44.9375,-93.6648,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T716,157th St Station,716,44.72,-93.178,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T718,Cedar Grove Transit Station,718,44.8118,-93.2184,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T719,Lakeville Cedar,719,44.6881,-93.2161,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T721,Rosemount Transit Station,721,44.7389,-93.1237,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T722,Eagle Creek Transit Station,722,44.7669,-93.438,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
